+-----+-----------------------------------------------------------------------------------------------------+-------+-----------+------------------------------------------------------------------+
| id  | url                                                                                                 | level | parent_id | code                                                             |
|  35 | https://www.foonathan.net/2016/09/error-handling-strategy/#content                                  |     3 |        18 | 4cb838b7c47f524ca800eb35b306fcc79e3f187d84c22e27839f5bfb760dc3cd |
|  36 | https://www.foonathan.net/2017/12/visitors/                                                         |     3 |        19 | fc46cbc5455ba192e5a8542d156236121483df2b6d3e811bbab5aeec4f371c2d |
|  37 | https://www.foonathan.net/special-member-chart/                                                     |     3 |        19 | 14d54fb43b1ec4cc0a24b520a3f88ccf5f5bcb9e06a7a264100a1124a8750090 |
|  38 | https://www.foonathan.net/2020/03/iterator-sentinel/#content                                        |     3 |        19 | a94921a9e62243c773175edb184b5172e29779389593c1966e3ca2769ca1a3e5 |
|  39 | https://www.foonathan.net/2019/11/implementer-vs-user-names/#content                                |     3 |        19 | 3e63e1179b87010ca0bcfe26668330686455bbf079cfa92d8ccb98c7a0c67a8b |
|  40 | https://www.foonathan.net/2022/03/behavior-function-type/                                           |     3 |        20 | 7e81130d3d341f8420d19ce96210d53c90a9444ad4e33fe2844c50a6e5944c29 |
|  41 | https://www.foonathan.net/2022/01/compile-time-codegen/                                             |     3 |        22 | cd9d36806f12644bc613806e6640cfb10ab9aa09fdbd47c28a14a5f9193c37e4 |
|  42 | https://www.foonathan.net/2021/11/lexy-turing/                                                      |     3 |        24 | f8c9a07e3be1bbb4bf94802aa0aae50d6ffcb170ec9073a8ad03ce8a9eb217a5 |
|  43 | https://www.foonathan.net/2021/10/crtp-interface/                                                   |     3 |        26 | 8d11ed6f9395ce1a454413179a9828bf39c507f4e0881c444746567ab313628b |
|  44 | https://www.foonathan.net/2016/10/strong-typedefs/                                                  |     3 |        26 | 23f9fcccc795c4b47888f6ef740ef612040369b762845f31e8f9539fcd47fc02 |
|  45 | https://www.foonathan.net/2021/07/concepts-structural-nominal/                                      |     3 |        28 | 4c2d4215cda090f5f37ccfdf0ae407507a0cf4a00968d69d975b8369c5519c8d |
|  46 | https://www.foonathan.net/2020/03/iterator-sentinel/                                                |     3 |        28 | a94921a9e62243c773175edb184b5172e29779389593c1966e3ca2769ca1a3e5 |
